"name","entity_type","firm","role_category","side","specialty","doc_count","doc_count_confidence","cases","key_eftas","notes","report_section"
"Kenneth A. Marra","person","SDFL","federal_judge","judicial","CVRA enforcement, victim civil suits","228","medium","08-80736-CIV-MARRA;10-80015-CR-MARRA","","Most-referenced Epstein-case judge. Raw name count 6451 but 228 as full reference.","2.6"
"Alison J. Nathan","person","SDNY","federal_judge","judicial","Maxwell trial; ruled on victim anonymity","1265","high","20-cr-330","","","2.6"
"Richard M. Berman","person","SDNY","federal_judge","judicial","Epstein bail hearing, death aftermath","264","high","19-cr-490","","","2.6"
"Colleen McMahon","person","SDNY (Chief)","federal_judge","judicial","Ex parte proceedings","71","high","","","Government obtained Giuffre deposition; Maxwell defense alleged government misled McMahon","2.6"
"Loretta Preska","person","SDNY","federal_judge","judicial","Giuffre v. Maxwell unsealing","135","high","15-cv-7433","","Took over after Judge Sweet's death","2.6"
"Robert W. Sweet","person","SDNY","federal_judge","judicial","Original Giuffre v. Maxwell judge","17","high","15-cv-7433","","Deceased","2.6"
"Paul Engelmayer","person","SDNY","federal_judge","judicial","Grand jury records unsealing","4","high","","","","2.6"
"Linnea R. Johnson","person","SDFL","magistrate","judicial","Marra case referrals","119","high","08-80736-CIV-MARRA","","","2.6"
"Barbara Moses","person","SDNY","magistrate","judicial","Signed Epstein arrest warrant (July 6 2019)","95","high","19-cr-490","","Also signed first search warrant for 9 East 71st St","2.6"
"Henry B. Pitman","person","SDNY","magistrate","judicial","Additional NYC residence search (July 11 2019)","59","high","19-cr-490","","","2.6"
"Kevin Nathaniel Fox","person","SDNY","magistrate","judicial","Electronic device search warrants (July 14 2019)","19","high","19-cr-490","","","2.6"
"Ruth Miller","person","SDNY","magistrate","judicial","USVI search warrant","27","high","19-cr-490","","Little Saint James search warrant","2.6"
"Sarah Netburn","person","SDNY","magistrate","judicial","Sealed proceedings, unsealing rulings","29","high","","","","2.6"
"James L. Cott","person","SDNY","magistrate","judicial","Warrants","8","high","","","Dennis cyberstalker complaint","2.6"
"Debra Freeman","person","SDNY","magistrate","judicial","Maxwell civil stays","18","high","20-cr-330","","","2.6"
"Deborah Dale Pucillo","person","15th Judicial Circuit, FL","state_judge","judicial","Accepted Epstein FL guilty plea","178","high","CF 09454","","","2.6"
"Jeffrey Colbath","person","15th Judicial Circuit, FL","state_judge","judicial","Unsealed NPA/federal deal documents","64","high","CF 09454","","","2.6"
"David Crow","person","15th Judicial Circuit, FL","state_judge","judicial","Settlement matters","65","high","","","","2.6"
"Sandra K. McSorley","person","15th Judicial Circuit, FL","state_judge","judicial","Probation/work release orders","36","high","CF 09454","","","2.6"
"Bill Berger","person","15th Judicial Circuit, FL (former)","state_judge","judicial","Former judge turned victim advocate","42","high","","","Everybody was in on this deal except the victims and the public","2.6"
"Luis Delgado","person","FL Circuit","state_judge","judicial","Unsealed NPA-era documents (2024-2025)","0","high","","","Referenced but no doc count","2.6"
"Brad Karp","person","Paul, Weiss, Rifkind, Wharton & Garrison","estate_trust","epstein","Estate litigation defense, personal advisor","1898","high","","","Chairman of Paul Weiss. Also retained by Leon Black for fee disputes with Epstein. Firm: 2805 docs.","2.7"
"Alan Halperin","person","Paul, Weiss, Rifkind, Wharton & Garrison","estate_trust","epstein","Estate/GRAT valuations","2039","high","","","","2.7"
"Matthew Menchel","person","Kobre & Kim","estate_trust","epstein","International asset recovery/offshore","937","high","","","Firm: 970 docs","2.7"
"Deborah Pechet Quinan","person","Riemer & Braunstein (RIW)","estate_trust","epstein","Trusts & Estates","558","high","","","","2.7"
"Carlyn McCaffrey","person","McDermott Will & Emery","estate_trust","epstein","Trusts & Estates","533","high","","","","2.7"
"Robert Josefsberg","person","Podhurst Orseck, P.A.","estate_trust","third_party","Special Master (NPA)","1004","high","08-80736","","Court-appointed Special Master","2.7"
"Weil Gotshal & Manges","firm","Weil Gotshal & Manges","estate_trust","epstein","Estate-related","78","high","","","Firm entry — no individual attributed","2.7"
"Cooley LLP","firm","Cooley LLP","estate_trust","epstein","Estate-related","115","high","","","Firm entry — no individual attributed","2.7"
"Gary Bloxsome","person","Blackfords LLP","third_party","third_party","Prince Andrew UK counsel","45","high","","EFTA00019885","Systematic obstruction of SDNY interview requests. Firm: 57 docs.","2.8"
"Peter Mandelson","person","Global Counsel LLP","third_party","third_party","Political consulting/legal advisory","5530","medium","","","Former UK First Secretary of State. 833 docs reference Global Counsel. Nature of legal work for Epstein undetermined.","2.8"
"Aileen Josephs","person","","third_party","epstein","Immigration attorney","18","high","","","USVI immigration matters","2.8"
"Arda Beskardes","person","","third_party","epstein","Immigration lawyer (NY-based)","738","high","","","","2.8"
"Marc Nurik","person","","third_party","third_party","Defense counsel (Rothstein)","928","high","50 2009CA040800XXXXMB AG","","Represented Scott Rothstein in Epstein v. Edwards/Rothstein","2.8"
"Martin O'Connor","person","O'Connor, Morss & O'Connor, P.C.","third_party","epstein","NJ estate/property matters","311","high","","","","2.8"
"Erica Dubno","person","","third_party","epstein","Appellate counsel","505","high","","","","2.8"
"Thomas Scott","person","Cole, Scott & Kissane, P.A.","third_party","third_party","Dershowitz defense counsel (Giuffre v. Dershowitz)","127","high","","","","2.8"
"Steven Safra","person","Cole, Scott & Kissane, P.A.","third_party","third_party","Dershowitz defense counsel (Giuffre v. Dershowitz)","75","high","","","","2.8"
"Benito Romano","person","","third_party","third_party","Former U.S. Attorney SDNY","253","high","","","","2.8"
"Lanna Belohlavek","person","","third_party","government","Assistant State Attorney, Palm Beach County","340","high","CF 09454","","","2.8"
"Jeffrey Sloman","person","SDFL USAO","third_party","government","U.S. Attorney, SDFL (successor to Acosta)","134","high","","","","2.8"
"Michael Genovese","person","","third_party","third_party","Referenced in legal filings","53","medium","","","","2.8"
"Sullivan & Cromwell","firm","Sullivan & Cromwell","third_party","unknown","Role undetermined — likely financial institution counsel","425","high","","","Firm entry — no individual attributed","2.8"
"Akin Gump","firm","Akin Gump","third_party","unknown","Role undetermined","433","high","","","Firm entry — no individual attributed","2.8"
"Skadden Arps","firm","Skadden Arps","third_party","unknown","Role undetermined","194","high","","","Firm entry — no individual attributed","2.8"
"Davis Polk","firm","Davis Polk","third_party","unknown","Role undetermined","172","high","","","Firm entry — no individual attributed","2.8"
"Dechert LLP","firm","Dechert LLP","third_party","third_party","Apollo independent report","77","high","","","Firm entry — no individual attributed","2.8"
"Robert Critton","person","Burman Critton Luttier & Coleman","fl_defense","epstein","FL defense counsel in victim civil suits","2037","high","","","Appears on Certificates of Service. Firm: 1663 docs.","2.9"
"Michael Pike","person","Burman Critton Luttier & Coleman","fl_defense","epstein","FL defense counsel in victim civil suits","991","high","","","Appears on Certificates of Service","2.9"
"Burman Critton Luttier & Coleman","firm","Burman Critton Luttier & Coleman","fl_defense","epstein","FL defense in victim civil suits","1663","high","","","Robert Critton (2037 docs) and Michael Pike (991 docs) identified as attorneys","2.9"
"Rothstein Rosenfeldt Adler","firm","Rothstein Rosenfeldt Adler","third_party","third_party","Ponzi scheme firm (disbarred)","1665","high","50 2009CA040800XXXXMB AG","","Scott Rothstein pleaded guilty to Ponzi scheme (2010), sentenced 50 years. Brad Edwards was initially at this firm.","2.9"
"Tonja Haddad Coleman","person","Tonja Haddad, P.A.","third_party","unknown","Appears in defense and victim civil dockets","1184","medium","","","Role not fully attributed","2.9"
"Fred Haddad","person","Fred Haddad, P.A.","third_party","unknown","Appears in defense and victim civil dockets","1599","medium","","","Role not fully attributed","2.9"
"Ghislaine Maxwell","person","","co_conspirator","epstein","","0","high","20-cr-330","","Convicted Dec 29 2021 (5 of 6 counts); sentenced June 28 2022 to 20 years","2.10"
"Sarah Kellen","person","","co_conspirator","epstein","","0","high","08-80736","EFTA01654937;EFTA01625916","Named accomplice in 2008 plea deal; NPA immunity; two proffer sessions Nov-Dec 2019","2.10"
"Nadia Marcinkova","person","","co_conspirator","epstein","","0","high","08-80736","","Named in NPA immunity provision","2.10"
"Lesley Groff","person","","co_conspirator","epstein","","0","high","08-80736","EFTA01656152","Explicitly named in NPA text","2.10"
"Adriana Ross","person","","co_conspirator","epstein","","0","high","08-80736","","Named in NPA immunity provision","2.10"
"Alfredo Rodriguez","person","","cooperator","epstein","","0","high","10-80015-CR-MARRA","EFTA00207048","Household manager. Convicted of obstruction for attempting to sell black book for $50K. Died of cancer while serving sentence.","2.10"
"Steven Hoffenberg","person","","co_conspirator","third_party","","0","high","93-B41558;18-cv-07580","EFTA01386750;EFTA01334040","Named Epstein as uncharged co-conspirator in TFC fraud. Served 18 years. Died August 2022.","2.10"
